MESE,ANNO,TOTALE
6,2025,12416
5,2025,77640
4,2025,71030
3,2025,75025
2,2025,72204
1,2025,77909
12,2024,62315
11,2024,62436
10,2024,70830
9,2024,58479
8,2024,46142
7,2024,59304
6,2024,50475
5,2024,56701
4,2024,52876
3,2024,52460
2,2024,54904
1,2024,7300
