MESE,ANNO,ACCESSI_UNICI,ACCESSI_TOTALI
12,2025,10,92
11,2025,189,1375
10,2025,168,1245
9,2025,185,1280
8,2025,92,899
7,2025,93,958
6,2025,94,830
5,2025,100,1047
4,2025,110,934
3,2025,112,964
2,2025,92,898
1,2025,67,863
12,2024,41,520
11,2024,37,328
10,2024,34,314
9,2024,45,516
8,2024,64,511
7,2024,81,627
6,2024,67,574
5,2024,34,428
4,2024,28,316
3,2024,12,234
2,2024,23,293
1,2024,3,155
12,2023,2,111
