DATA_ELABORAZIONE,STATO_ESTERO,CODICE_ISO,RETTIFICHE,CAMBI_RESIDENZA,AUTOCERTIFICAZIONI,VISURE,CERTIFICATI,TOTALE
05-08-2025,ISOLE VERGINI BRITANNICHE,VGB,0,0,2,2,1,5
05-08-2025,ISOLE WALLIS E FUTUNA,WLF,0,0,0,1,1,2
05-08-2025,ISRAELE,ISR,16,9,144,659,274,1102
05-08-2025,JERSEY,JEY,0,0,4,15,2,21
05-08-2025,KAZAKHSTAN,KAZ,3,1,45,274,94,417
05-08-2025,KENYA,KEN,6,4,67,310,138,525
05-08-2025,KIRGHIZISTAN,KGZ,0,0,0,6,8,14
05-08-2025,KOSOVO,RKS,2,0,7,79,9,97
05-08-2025,KUWAIT,KWT,0,4,73,342,170,589
05-08-2025,LAOS,LAO,0,0,4,24,5,33
05-08-2025,LESOTHO,LSO,0,0,1,10,11,22
05-08-2025,LETTONIA,LVA,4,7,49,354,87,501
05-08-2025,LIBANO,LBN,1,2,25,200,46,274
05-08-2025,LIBERIA,LBR,0,0,0,0,1,1
05-08-2025,LIBIA,LBY,1,1,12,41,6,61
05-08-2025,LIECHTENSTEIN,LIE,1,0,2,29,11,43
05-08-2025,LITUANIA,LTU,4,4,49,286,56,399
05-08-2025,LUSSEMBURGO,LUX,93,50,934,6050,2184,9311
05-08-2025,MACEDONIA DEL NORD,MKD,4,0,27,215,56,302
05-08-2025,MADAGASCAR,MDG,1,1,27,105,67,201
05-08-2025,MALAWI,MWI,1,1,1,33,14,50
05-08-2025,MALAYSIA,MYS,7,5,51,382,168,613
05-08-2025,MALDIVE,MDV,1,0,12,58,28,99
05-08-2025,MALI,MLI,2,0,7,30,21,60
05-08-2025,MALTA,MLT,76,60,459,3233,1075,4903
05-08-2025,MAROCCO,MAR,21,6,212,1565,485,2289
05-08-2025,MARTINICA,MTQ,0,0,0,0,3,3
05-08-2025,MAURITANIA,MRT,0,0,2,4,1,7
05-08-2025,MAURITIUS,MUS,4,7,25,106,46,188
05-08-2025,MESSICO,MEX,29,9,227,1078,518,1861
05-08-2025,MOLDOVA,MDA,3,2,22,204,63,294
05-08-2025,MONACO,MCO,13,7,165,1171,994,2350
05-08-2025,MONGOLIA,MNG,1,0,0,11,3,15
05-08-2025,MONTENEGRO,MNE,1,1,6,107,66,181
05-08-2025,MOZAMBICO,MOZ,2,1,24,146,67,240
05-08-2025,MYANMAR,MMR,2,0,7,39,13,61
05-08-2025,NAMIBIA,NAM,0,0,2,4,4,10
05-08-2025,NEPAL,NPL,1,0,3,29,11,44
05-08-2025,NICARAGUA,NIC,0,0,12,46,29,87
05-08-2025,NIGER,NER,0,1,3,16,11,31
05-08-2025,NIGERIA,NGA,6,3,41,206,78,334
05-08-2025,NORVEGIA,NOR,29,12,262,1663,419,2385
05-08-2025,NUOVA CALEDONIA,NCL,0,0,2,19,5,26
05-08-2025,NUOVA ZELANDA,NZL,7,5,46,334,132,524
05-08-2025,OMAN,OMN,0,0,13,80,34,127
05-08-2025,PAESI BASSI,NLD,201,161,1722,12477,2855,17416
05-08-2025,PAKISTAN,PAK,2,0,8,56,20,86
05-08-2025,PALAU,PLW,0,0,0,1,1,2
05-08-2025,PANAMA,PAN,6,7,98,612,223,946
05-08-2025,PARAGUAY,PRY,0,4,13,108,45,170
05-08-2025,PERU',PER,25,14,111,896,226,1272
05-08-2025,POLINESIA FRANCESE,PYF,0,0,0,5,6,11
05-08-2025,POLONIA,POL,51,41,547,3757,772,5168
05-08-2025,PORTOGALLO,PRT,133,51,1454,8150,3357,13145
05-08-2025,QATAR,QAT,19,13,223,1052,561,1868
05-08-2025,REGNO UNITO,GBR,1256,825,8771,59890,18528,89270
05-08-2025,REPUBBLICA CECA,CZE,61,29,484,2939,967,4480
05-08-2025,REPUBBLICA CENTRAFRICANA,CAF,0,0,2,15,9,26
05-08-2025,REPUBBLICA DEMOCRATICA DEL CONGO,COD,3,1,16,93,28,141
05-08-2025,REPUBBLICA DI COREA,KOR,10,3,85,434,189,721
05-08-2025,REPUBBLICA DOMINICANA,DOM,23,14,163,1113,338,1651
05-08-2025,REPUBBLICA POPOLARE CINESE,CHN,73,29,668,3366,1207,5343
05-08-2025,REPUBBLICA POPOLARE DEMOCRATICA DI COREA,PRK,0,0,0,3,0,3
05-08-2025,RIUNIONE,REU,0,0,2,9,7,18
05-08-2025,ROMANIA,ROU,32,19,404,2753,1004,4212
05-08-2025,RUANDA,RWA,0,1,4,16,11,32
05-08-2025,SAINT BARTHELEMY,BLM,0,0,0,2,0,2
05-08-2025,SAINT KITTS E NEVIS,KNA,0,0,0,3,4,7
05-08-2025,SAINT MARTIN,MAF,0,0,0,0,2,2
05-08-2025,SAINT VINCENT E GRENADINE,VCT,0,0,0,0,1,1
05-08-2025,SAMOA,WSM,0,0,0,0,1,1
05-08-2025,SAN MARINO,SMR,19,3,231,1333,692,2278
05-08-2025,SENEGAL,SEN,3,2,40,266,127,438
05-08-2025,SERBIA,SRB,2,1,51,224,105,383
05-08-2025,SEYCHELLES,SYC,1,0,9,55,19,84
05-08-2025,SIERRA LEONE,SLE,0,0,2,7,7,16
05-08-2025,SINGAPORE,SGP,32,14,234,1676,556,2512
05-08-2025,SIRIA,SYR,0,1,3,35,28,67
05-08-2025,SLOVACCHIA,SVK,17,6,235,1461,449,2168
05-08-2025,SLOVENIA,SVN,6,5,206,1025,414,1656
05-08-2025,SOMALIA,SOM,0,1,7,28,2,38
05-08-2025,SPAGNA,ESP,747,247,8509,46588,13772,69863
05-08-2025,SRI LANKA,LKA,7,0,17,75,38,137
05-08-2025,STATI UNITI D'AMERICA,USA,468,152,2921,24721,7797,36059
05-08-2025,STATO CITTA' DEL VATICANO,VAT,0,0,0,1,5,6
05-08-2025,SUD AFRICA,ZAF,4,6,55,363,161,589
05-08-2025,SUD SUDAN,SSD,1,0,3,15,1,20
05-08-2025,SUDAN,SDN,0,1,0,6,5,12
05-08-2025,SVEZIA,SWE,49,25,453,3244,744,4515
05-08-2025,SVIZZERA,CHE,701,220,5630,34424,17937,58912
05-08-2025,TAGIKISTAN,TJK,0,0,1,2,1,4
05-08-2025,TAIWAN,TWN,3,1,25,285,364,678
05-08-2025,TANZANIA,TZA,2,0,19,122,55,198
05-08-2025,TERRITORI DELL'AUTONOMIA PALESTINESE,PSE,0,1,6,54,10,71
05-08-2025,THAILANDIA,THA,31,9,407,2163,774,3384
05-08-2025,TIMOR ORIENTALE,TLS,1,0,0,8,0,9
05-08-2025,TOGO,TGO,0,0,1,7,2,10
05-08-2025,TUNISIA,TUN,86,26,1162,7089,3439,11802
05-08-2025,TURCHIA,TUR,11,13,191,1311,269,1795
05-08-2025,TURKMENISTAN,TKM,0,0,0,1,0,1
05-08-2025,UCRAINA,UKR,6,4,77,345,234,666
05-08-2025,UGANDA,UGA,0,1,7,46,20,74
05-08-2025,UNGHERIA,HUN,15,6,176,1068,404,1669
05-08-2025,URUGUAY,URY,6,5,88,846,141,1086
05-08-2025,UZBEKISTAN,UZB,1,3,20,65,28,117
05-08-2025,VANUATU,VUT,1,0,0,12,2,15
05-08-2025,VENEZUELA,VEN,14,5,246,2412,286,2963
05-08-2025,VIETNAM,VNM,2,3,52,442,183,682
05-08-2025,YEMEN,YEM,0,0,2,4,5,11
05-08-2025,ZAMBIA,ZMB,0,0,2,37,14,53
05-08-2025,ZIMBABWE,ZWE,0,0,0,10,2,12
