MESE,ANNO,TIPO SOGGETTO,STATO DI LAVORAZIONE,TIPOLOGIA,TOTALE
10,2022,Residenti,RESPINTA,STESSO COMUNE,237
11,2022,AIRE,ACCOLTA,RIENTRI AIRE,113
11,2022,AIRE,IN LAVORAZIONE,RIENTRI AIRE,359
11,2022,AIRE,IRRICEVIBILE,RIENTRI AIRE,12
11,2022,AIRE,RESPINTA,RIENTRI AIRE,1
11,2022,Residenti,ACCOLTA,DIVERSA REGIONE,779
11,2022,Residenti,ACCOLTA,STESSA REGIONE,1661
11,2022,Residenti,ACCOLTA,STESSO COMUNE,28502
11,2022,Residenti,IN LAVORAZIONE,DIVERSA REGIONE,5581
11,2022,Residenti,IN LAVORAZIONE,STESSA REGIONE,11638
11,2022,Residenti,IN LAVORAZIONE,STESSO COMUNE,72657
11,2022,Residenti,IRRICEVIBILE,STESSO COMUNE,2574
11,2022,Residenti,RESPINTA,STESSO COMUNE,201
