MESE,ANNO,TOTALE
12,2025,4015
11,2025,37844
10,2025,42693
9,2025,37994
8,2025,31023
7,2025,38545
6,2025,34433
5,2025,34716
4,2025,32538
3,2025,36039
2,2025,33562
1,2025,35433
12,2024,28873
11,2024,30383
10,2024,35232
9,2024,29507
8,2024,22739
7,2024,29565
6,2024,25705
5,2024,30587
4,2024,27707
3,2024,28408
2,2024,28834
1,2024,3683
