MESE,ANNO,TOTALE
12,2025,4758
11,2025,89667
10,2025,101162
9,2025,87360
8,2025,71620
7,2025,87339
6,2025,78592
5,2025,77640
4,2025,71030
3,2025,75026
2,2025,72207
1,2025,77926
12,2024,62316
11,2024,62437
10,2024,70832
9,2024,58480
8,2024,46142
7,2024,59307
6,2024,50476
5,2024,56702
4,2024,52877
3,2024,52462
2,2024,54904
1,2024,7300
