MESE,ANNO,TOTALE
12,2025,245755
11,2025,377663
10,2025,417535
9,2025,376865
8,2025,141478
7,2025,385541
6,2025,340309
5,2025,358445
4,2025,328585
3,2025,374148
2,2025,345108
1,2025,346067
12,2024,263274
11,2024,330787
10,2024,369260
9,2024,309855
8,2024,120429
7,2024,311006
6,2024,280145
5,2024,313438
4,2024,268292
3,2024,276342
2,2024,279006
1,2024,232668
12,2023,98063
