MESE,ANNO,TOTALE
11,2025,187
10,2025,381
9,2025,368
8,2025,323
7,2025,341
6,2025,335
5,2025,341
4,2025,167
3,2025,109
2,2025,208
1,2025,442
12,2024,370
11,2024,372
10,2024,399
9,2024,308
8,2024,248
7,2024,258
6,2024,280
5,2024,342
4,2024,293
3,2024,313
2,2024,268
1,2024,213
12,2023,160
11,2023,222
10,2023,184
9,2023,153
8,2023,37
